pre,post,count,norm
RIFR,ASHR,6,0.153846
RIFR,ADLR,1,0.019608
RIFR,URXR,3,0.039474
RIFR,CEPVR,2,0.034483
RIFR,AIZL,1,0.004831
RIFR,RIFL,1,0.047619
RIFR,AVFL,1,0.033333
RIFR,PVPR,6,0.250000
RIFR,AVJL,2,0.022472
RIFR,AVJR,2,0.024691
RIFR,RIAR,1,0.002415
RIFR,RIMR,10,0.040161
RIFR,AVBL,1,0.002967
RIFR,AVBR,35,0.105422
RIFR,PVCL,1,0.003534
RIFR,PVCR,1,0.003817
RIFR,RIPR,2,0.008621
BDUL,ALML,1,0.050000
BDUL,ADEL,6,0.125000
BDUL,ADAL,2,0.051282
BDUL,RIFL,2,0.095238
BDUL,AVHL,2,0.057143
BDUL,PVNL,2,0.076923
BDUL,PVNR,4,0.105263
BDUL,RMGL,3,0.052632
BDUL,SAADL,3,0.040000
BDUL,AVJR,2,0.024691
BDUL,URADL,3,0.093750
BDUR,SDQL,2,0.064516
BDUR,ALMR,4,0.500000
BDUR,ADER,4,0.111111
BDUR,CEPVR,1,0.017241
BDUR,AVHL,2,0.057143
BDUR,PVNL,11,0.423077
BDUR,PVNR,5,0.131579
BDUR,AVJL,5,0.056180
BDUR,AVBR,1,0.003012
BDUR,AVAL,7,0.010495
BDUR,PVCL,3,0.010601
BDUR,URADR,3,0.142857
PVR,SDQR,5,0.185185
PVR,ALMR,2,0.250000
PVR,PVM,1,0.076923
PVR,DVA,2,0.013699
PVR,PDER,1,0.021739
PVR,CEPVR,2,0.034483
PVR,IL1DR,5,0.078125
PVR,IL1VL,9,0.150000
PVR,IL1VR,9,0.142857
PVR,ADAR,1,0.021739
PVR,PVR,1,0.024390
PVR,AVKL,1,0.010638
PVR,AVJL,11,0.123596
PVR,AVJR,5,0.061728
PVR,AVBL,17,0.050445
PVR,AVBR,17,0.051205
PVR,PVCL,4,0.014134
PVR,RIPL,16,0.084656
PVR,RIPR,19,0.081897
PVR,URADL,3,0.093750
PVR,SABD,2,0.043478
PVR,DA05,1,0.025641
PVR,DA09,2,0.036364
PVR,DB02,2,0.111111
PVR,DB03,3,0.142857
PVR,DB04,1,0.055556
PVR,DB07,2,0.071429
PVR,VB03,2,0.111111
PVR,VB07,1,0.111111
AVFL,PDER,1,0.021739
AVFL,AIML,1,0.050000
AVFL,PVQL,1,0.021277
AVFL,PVQR,1,0.029412
AVFL,RIFL,1,0.047619
AVFL,RIFR,1,0.028571
AVFL,AVFR,12,0.387097
AVFL,AVHL,4,0.114286
AVFL,AVHR,1,0.043478
AVFL,PVNL,1,0.038462
AVFL,AVG,5,0.111111
AVFL,DVB,1,0.500000
AVFL,AVJL,2,0.022472
AVFL,AVL,5,0.086207
AVFL,AVBL,4,0.011869
AVFL,AVBR,1,0.003012
AVFL,SMBVL,1,0.013889
AVFL,AS10,1,0.047619
AVFL,VB01,2,0.054054
AVFL,VB02,2,0.125000
AVFR,ASHR,1,0.025641
AVFR,PVDL,1,0.011765
AVFR,AIML,1,0.050000
AVFR,AIAL,1,0.005435
AVFR,PVQL,2,0.042553
AVFR,AVFL,7,0.233333
AVFR,AVHL,3,0.085714
AVFR,AVHR,3,0.130435
AVFR,PVPR,1,0.041667
AVFR,AVG,1,0.022222
AVFR,RMGL,1,0.017544
AVFR,AVJL,5,0.056180
AVFR,AVJR,1,0.012346
AVFR,AVBL,6,0.017804
AVFR,AVBR,6,0.018072
AVFR,AVAL,1,0.001499
AVFR,PVCR,1,0.003817
AVFR,RMDDL,1,0.003226
AVFR,VA02,1,0.022727
AVFR,VD11,1,0.015152
AVHL,AWBR,3,0.187500
AVHL,ADFR,5,0.104167
AVHL,ASHR,1,0.025641
AVHL,RIR,2,0.029851
AVHL,PVQR,3,0.088235
AVHL,RIFR,1,0.028571
AVHL,BDUR,1,0.034483
AVHL,AVFL,1,0.033333
AVHL,AVFR,5,0.161290
AVHL,AVHR,1,0.043478
AVHL,PVPL,1,0.022222
AVHL,PVPR,2,0.083333
AVHL,AVJL,4,0.044944
AVHL,AVJR,1,0.012346
AVHL,AVDL,1,0.003788
AVHL,RIMR,1,0.004016
AVHL,AVBL,2,0.005935
AVHL,AVBR,1,0.003012
AVHL,AVAR,1,0.001460
AVHL,SABD,1,0.021739
AVHL,SMBDR,4,0.040000
AVHL,SMBVR,4,0.050000
AVHL,DD01,1,0.005814
AVHL,VD01,1,0.016393
AVHR,AWBL,1,0.047619
AVHR,ASKR,1,0.040000
AVHR,ADLR,3,0.058824
AVHR,AQR,1,0.031250
AVHR,DVA,1,0.006849
AVHR,RIR,8,0.119403
AVHR,AVFL,2,0.066667
AVHR,AVFR,2,0.064516
AVHR,AVHL,1,0.028571
AVHR,PVPL,9,0.200000
AVHR,AVG,1,0.022222
AVHR,RIGL,1,0.011236
AVHR,AVJR,5,0.061728
AVHR,AVDR,1,0.004237
AVHR,AVBL,3,0.008902
AVHR,AVBR,1,0.003012
AVHR,AVAL,1,0.001499
AVHR,SMBDL,3,0.037500
AVHR,SMBVL,1,0.013889
PVPL,AQR,8,0.250000
PVPL,PVDL,1,0.011765
PVPL,RIR,1,0.014925
PVPL,ADAL,1,0.025641
PVPL,AVHR,3,0.130435
PVPL,RIGL,3,0.033708
PVPL,AVDR,3,0.012712
PVPL,AVBL,13,0.038576
PVPL,AVBR,12,0.036145
PVPL,AVAL,4,0.005997
PVPL,AVAR,3,0.004380
PVPL,PVCL,3,0.010601
PVPL,PVCR,9,0.034351
PVPR,ADFR,2,0.041667
PVPR,ASHR,2,0.051282
PVPR,URXR,1,0.013158
PVPR,AQR,5,0.156250
PVPR,PVQR,1,0.029412
PVPR,AVHL,3,0.085714
PVPR,AVG,1,0.022222
PVPR,RIGR,2,0.018349
PVPR,DVC,3,0.100000
PVPR,AVJL,2,0.022472
PVPR,AVL,4,0.068966
PVPR,RIAR,2,0.004831
PVPR,RIMR,1,0.004016
PVPR,AVBL,8,0.023739
PVPR,AVBR,11,0.033133
PVPR,AVAL,1,0.001499
PVPR,AVAR,5,0.007299
PVPR,PVCL,6,0.021201
PVPR,PVCR,13,0.049618
PVPR,DD02,1,0.009009
LUAL,PHBL,2,0.117647
LUAL,PVNL,1,0.038462
LUAL,AVJL,4,0.044944
LUAL,AVJR,1,0.012346
LUAL,AVDL,27,0.102273
LUAL,AVDR,6,0.025424
LUAL,PVWL,1,0.050000
LUAL,AVAL,27,0.040480
LUAL,AVAR,23,0.033577
LUAR,PQR,7,0.368421
LUAR,PVR,2,0.048780
LUAR,PVNL,1,0.038462
LUAR,AVJR,4,0.049383
LUAR,AVDL,5,0.018939
LUAR,AVDR,14,0.059322
LUAR,PVWL,3,0.150000
LUAR,PVWR,2,0.250000
LUAR,AVAL,13,0.019490
LUAR,AVAR,31,0.045255
LUAR,PVCR,9,0.034351
LUAR,PDB,2,1.000000
PVNL,PQR,5,0.263158
PVNL,PVDL,3,0.035294
PVNL,BDUL,5,0.178571
PVNL,BDUR,2,0.068966
PVNL,PVPR,1,0.041667
PVNL,LUAL,3,0.136364
PVNL,PVNR,9,0.236842
PVNL,AVG,2,0.044444
PVNL,AVJL,6,0.067416
PVNL,AVJR,8,0.098765
PVNL,PVT,6,0.181818
PVNL,AVDL,7,0.026515
PVNL,AVDR,6,0.025424
PVNL,AVL,1,0.017241
PVNL,PVWL,4,0.200000
PVNL,PVWR,1,0.125000
PVNL,AVBR,2,0.006024
PVNL,AVAL,6,0.008996
PVNL,PVCL,5,0.017668
PVNL,DD01,5,0.029070
PVNL,VA12,1,0.016129
PVNL,VD12,1,0.010989
PVNR,URXL,2,0.027397
PVNR,PQR,4,0.210526
PVNR,ALML,2,0.100000
PVNR,PVDR,5,0.054348
PVNR,CEPDL,2,0.050000
PVNR,URBL,2,0.117647
PVNR,BDUL,1,0.035714
PVNR,PVR,1,0.024390
PVNR,PVNR,1,0.026316
PVNR,AVJL,1,0.011236
PVNR,AVJR,1,0.012346
PVNR,PVT,3,0.090909
PVNR,AVDL,1,0.003788
PVNR,AVDR,2,0.008475
PVNR,AVL,3,0.051724
PVNR,PVWL,9,0.450000
PVNR,PVWR,2,0.250000
PVNR,AVEL,5,0.016502
PVNR,AVBR,1,0.003012
PVNR,AVAL,5,0.007496
PVNR,PVCR,2,0.007634
PVNR,DB03,1,0.047619
PVNR,DD02,1,0.009009
PVNR,VA05,1,0.050000
PVNR,VA11,1,0.025641
PVNR,VD03,3,0.021739
PVNR,VD04,6,0.061856
PVNR,VD06,1,0.009434
PVNR,VD07,1,0.009615
PVNR,VD12,1,0.010989
PVNR,VD13,1,0.016393
AVG,PHAL,3,0.214286
AVG,PVQR,2,0.058824
AVG,AVFL,3,0.100000
AVG,PVNL,2,0.076923
AVG,PVNR,4,0.105263
AVG,AVG,2,0.044444
AVG,DVC,2,0.066667
AVG,AVJL,7,0.078652
AVG,AVJR,3,0.037037
AVG,PVT,2,0.060606
AVG,AVDL,1,0.003788
AVG,AVDR,3,0.012712
AVG,AVEL,2,0.006601
AVG,AVER,1,0.003401
AVG,AVBL,5,0.014837
AVG,AVBR,3,0.009036
AVG,AVAL,3,0.004498
AVG,AVAR,3,0.004380
AVG,PVCL,1,0.003534
AVG,PVCR,2,0.007634
AVG,DA08,1,0.015625
AVG,VA06,1,0.037037
DVB,PHCL,2,0.285714
DVB,PVPL,10,0.222222
DVB,DVC,5,0.166667
DVB,AVL,21,0.362069
DVB,DA08,10,0.156250
DVB,PDA,2,1.000000
DVB,DD06,10,0.068027
DVB,VD13,1,0.016393
RIBL,BAGR,3,0.078947
RIBL,CEPVL,5,0.113636
RIBL,URYDL,3,0.130435
RIBL,AUAL,9,0.180000
RIBL,RIS,5,0.125000
RIBL,RIGL,1,0.011236
RIBL,AIBR,8,0.027972
RIBL,DVC,1,0.033333
RIBL,AVDR,4,0.016949
RIBL,RIAL,6,0.013825
RIBL,RIML,1,0.004695
RIBL,AVEL,9,0.029703
RIBL,AVER,14,0.047619
RIBL,AVBR,1,0.003012
RIBL,AVAL,5,0.007496
RIBL,RMDR,1,0.005000
RIBL,SMDVR,6,0.040816
RIBR,BAGL,8,0.186047
RIBR,URYVR,2,0.100000
RIBR,OLLR,1,0.015873
RIBR,AINL,1,0.125000
RIBR,RIH,2,0.018182
RIBR,AUAR,2,0.039216
RIBR,AIZR,2,0.009901
RIBR,RIS,1,0.025000
RIBR,RIGR,5,0.045872
RIBR,AIBL,3,0.011628
RIBR,RIAR,8,0.019324
RIBR,AVEL,6,0.019802
RIBR,AVER,4,0.013605
RIBR,AVBL,2,0.005935
RIBR,AVAR,6,0.008759
RIBR,RMED,1,0.016129
RIBR,RMDVR,1,0.003690
RIBR,SMDDL,2,0.009569
RIBR,SMDVL,2,0.014388
RIBR,SMDVR,2,0.013605
RIGL,ADFL,1,0.023810
RIGL,ADLL,2,0.111111
RIGL,BAGR,3,0.078947
RIGL,URXL,6,0.082192
RIGL,ALNL,6,0.428571
RIGL,DVA,1,0.006849
RIGL,OLQVL,2,0.025000
RIGL,RIH,2,0.018182
RIGL,RIR,8,0.119403
RIGL,AIZL,10,0.048309
RIGL,AIZR,2,0.009901
RIGL,PVPL,2,0.044444
RIGL,RIBL,3,0.013761
RIGL,RMGL,6,0.105263
RIGL,AIBR,4,0.013986
RIGL,AVKR,17,0.223684
RIGL,AVEL,7,0.023102
RIGL,AVER,1,0.003401
RIGL,RMHR,23,0.287500
RIGR,AFDR,1,0.021739
RIGR,BAGL,2,0.046512
RIGR,URXR,3,0.039474
RIGR,ALNR,3,0.130435
RIGR,DVA,4,0.027397
RIGR,URYVR,2,0.100000
RIGR,OLQVR,2,0.028571
RIGR,RIR,5,0.074627
RIGR,AIZR,5,0.024752
RIGR,RIBR,2,0.008850
RIGR,AIBL,2,0.007752
RIGR,AVKL,21,0.223404
RIGR,AVKR,5,0.065789
RIGR,DVC,2,0.066667
RIGR,PVT,5,0.151515
RIGR,AVDL,1,0.003788
RIGR,RIAR,3,0.007246
RIGR,AVER,4,0.013605
RIGR,RMHL,17,0.242857
RMGL,ASHL,1,0.066667
RMGL,ADLL,1,0.055556
RMGL,URXL,3,0.041096
RMGL,CEPDL,1,0.025000
RMGL,AIML,3,0.150000
RMGL,ADAL,4,0.102564
RMGL,RIFL,1,0.047619
RMGL,AVFR,1,0.032258
RMGL,PVPL,1,0.022222
RMGL,AIBR,2,0.006993
RMGL,SAADL,1,0.013333
RMGL,AVEL,2,0.006601
RMGL,RID,2,0.035714
RMGL,AVBR,3,0.009036
RMGL,AVAL,3,0.004498
RMGL,RMDDR,1,0.003460
RMGL,RMDL,2,0.011628
RMGL,RMDR,16,0.080000
RMGL,RMDVL,15,0.054152
RMGL,RMHL,1,0.014286
RMGL,RMHR,4,0.050000
RMGL,SMDDL,1,0.004785
RMGL,SMDDR,2,0.008403
RMGL,SMBVL,2,0.027778
RMGL,SIBDR,1,0.019608
RMGL,SIBVL,4,0.060606
RMGL,SIBVR,4,0.060606
RMGL,SIADL,2,0.037736
RMGL,SIADR,2,0.034483
RMGL,SIAVL,4,0.047059
RMGR,ASHR,1,0.025641
RMGR,URXR,3,0.039474
RMGR,ALNR,4,0.173913
RMGR,ALMR,1,0.125000
RMGR,ADER,2,0.055556
RMGR,IL2R,2,0.181818
RMGR,OLLR,1,0.015873
RMGR,AIMR,2,0.133333
RMGR,RIR,1,0.014925
RMGR,ADAR,2,0.043478
RMGR,RIGR,2,0.018349
RMGR,SAADL,3,0.040000
RMGR,SAAVR,1,0.021739
RMGR,AVJL,4,0.044944
RMGR,AVDL,2,0.007576
RMGR,AVER,6,0.020408
RMGR,AVBL,2,0.005935
RMGR,AVBR,3,0.009036
RMGR,AVAL,1,0.001499
RMGR,RMDDL,1,0.003226
RMGR,RMDL,20,0.116279
RMGR,RMDR,7,0.035000
RMGR,RMDVR,23,0.084871
RMGR,SMBVR,1,0.012500
RMGR,SIBDL,2,0.055556
RMGR,SIADL,1,0.018868
RMGR,SIAVR,2,0.026316
AIBL,ASHL,1,0.066667
AIBL,ASHR,3,0.076923
AIBL,FLPL,1,0.040000
AIBL,AIZR,7,0.034653
AIBL,RIFL,1,0.047619
AIBL,RIBR,16,0.070796
AIBL,RIGR,5,0.045872
AIBL,AIBL,2,0.007752
AIBL,SAADL,6,0.080000
AIBL,SAADR,10,0.147059
AIBL,SAAVL,3,0.057692
AIBL,SAAVR,1,0.021739
AIBL,RIML,1,0.004695
AIBL,RIMR,56,0.224900
AIBL,AVEL,1,0.003300
AIBL,RMFR,6,0.127660
AIBL,AVBL,21,0.062315
AIBL,AVAL,5,0.007496
AIBL,SMDDR,16,0.067227
AIBL,SMDVR,4,0.027211
AIBL,SIBVR,2,0.030303
AIBL,SIADR,2,0.034483
AIBL,SIAVR,2,0.026316
AIBR,AWCR,1,0.016129
AIBR,ADLR,1,0.019608
AIBR,AQR,1,0.031250
AIBR,DVA,1,0.006849
AIBR,AIYR,1,0.007692
AIBR,AIAR,1,0.005291
AIBR,AUAL,1,0.020000
AIBR,RIBL,11,0.050459
AIBR,RIGL,1,0.011236
AIBR,RICR,1,0.009524
AIBR,SAADL,2,0.026667
AIBR,SAADR,2,0.029412
AIBR,SAAVR,1,0.021739
AIBR,RIAL,2,0.004608
AIBR,RIML,47,0.220657
AIBR,RIMR,5,0.020080
AIBR,AVEL,4,0.013201
AIBR,RMFL,1,0.021739
AIBR,AVBR,13,0.039157
AIBR,AVAR,2,0.002920
AIBR,SMDDL,17,0.081340
AIBR,SMDVL,7,0.050360
AIBR,SIBDL,1,0.027778
AIBR,SIBDR,1,0.019608
AIBR,SIADL,1,0.018868
AIBR,VB01,3,0.081081
RICL,ADLR,2,0.039216
RICL,CEPDL,1,0.025000
RICL,CEPVL,2,0.045455
RICL,OLQVL,1,0.012500
RICL,URBR,2,0.052632
RICL,ADAL,1,0.025641
RICL,ADAR,7,0.152174
RICL,RICR,2,0.019048
RICL,SAAVL,2,0.038462
RICL,RIML,1,0.004695
RICL,RIMR,8,0.032129
RICL,RMFR,2,0.042553
RICL,AVAL,15,0.022489
RICL,AVAR,18,0.026277
RICL,RIVR,4,0.114286
RICL,SMDDL,11,0.052632
RICL,SMDDR,8,0.033613
RICL,SMDVR,1,0.006803
RICL,SMBDL,5,0.062500
RICL,SMBDR,1,0.010000
RICR,CEPDL,1,0.025000
RICR,CEPDR,1,0.034483
RICR,URBR,2,0.052632
RICR,AIZL,6,0.028986
RICR,ADAR,2,0.043478
RICR,RMGL,1,0.017544
RICR,AIBL,2,0.007752
RICR,AIBR,2,0.006993
RICR,RICL,3,0.034884
RICR,AVKR,1,0.013158
RICR,RIML,10,0.046948
RICR,RIMR,1,0.004016
RICR,RMFL,1,0.021739
RICR,AVAL,15,0.022489
RICR,AVAR,13,0.018978
RICR,RIVL,1,0.023810
RICR,SMDDL,9,0.043062
RICR,SMDDR,9,0.037815
RICR,SMDVL,6,0.043165
RICR,SMDVR,3,0.020408
RICR,SMBDR,3,0.030000
RICR,VB01,7,0.189189
SAADL,OLLR,4,0.063492
SAADL,RIGL,1,0.011236
SAADL,AIBL,1,0.003876
SAADL,RIML,11,0.051643
SAADL,RIMR,16,0.064257
SAADL,RMFR,1,0.021277
SAADL,AVAL,17,0.025487
SAADL,RMDVR,1,0.003690
SAADL,RIVR,1,0.028571
SAADL,SABD,2,0.043478
SAADL,SIBVR,1,0.015152
SAADR,PLNR,1,0.062500
SAADR,OLLL,3,0.068182
SAADR,RMGL,1,0.017544
SAADR,AIBL,1,0.003876
SAADR,AIBR,1,0.003497
SAADR,RIML,14,0.065728
SAADR,RIMR,23,0.092369
SAADR,RMFL,5,0.108696
SAADR,RMFR,1,0.021277
SAADR,AVAL,1,0.001499
SAADR,AVAR,26,0.037956
SAADR,SABD,2,0.043478
SAADR,SMDVL,5,0.035971
SAADR,SMBDR,2,0.020000
SAADR,SMBVR,1,0.012500
SAAVL,OLLR,1,0.015873
SAAVL,AIBL,1,0.003876
SAAVL,RIML,5,0.023474
SAAVL,RIMR,33,0.132530
SAAVL,RMFR,11,0.234043
SAAVL,AVAL,56,0.083958
SAAVL,SABD,1,0.021739
SAAVL,SMDDR,18,0.075630
SAAVL,SMDVL,1,0.007194
SAAVL,SMBDR,2,0.020000
SAAVR,ASIR,1,0.166667
SAAVR,ALNR,1,0.043478
SAAVR,IL1DL,12,0.214286
SAAVR,AIBR,1,0.003497
SAAVR,SAAVR,1,0.021739
SAAVR,RIAR,1,0.002415
SAAVR,RIML,12,0.056338
SAAVR,RIMR,7,0.028112
SAAVR,AVBL,1,0.002967
SAAVR,AVAR,39,0.056934
SAAVR,RIPL,12,0.063492
SAAVR,RMEV,1,0.010989
SAAVR,SMDDL,17,0.081340
SAAVR,SMBDL,1,0.012500
AVKL,AVM,2,0.400000
AVKL,DVA,1,0.006849
AVKL,PDEL,2,0.037736
AVKL,PDER,1,0.021739
AVKL,SAADL,1,0.013333
AVKL,SAADR,3,0.044118
AVKL,RIML,3,0.014085
AVKL,RIMR,2,0.008032
AVKL,AVEL,4,0.013201
AVKL,AVER,2,0.006803
AVKL,RMFL,2,0.043478
AVKL,AVBL,2,0.005935
AVKL,RMDL,1,0.005814
AVKL,RIVL,5,0.119048
AVKL,SIBDR,2,0.039216
AVKL,SIAVR,2,0.026316
AVKL,VB01,3,0.081081
AVKR,PVM,2,0.153846
AVKR,PVQL,1,0.021277
AVKR,BDUL,3,0.107143
AVKR,PVPL,1,0.022222
AVKR,RIGL,1,0.011236
AVKR,RMGL,2,0.035088
AVKR,SAADL,2,0.026667
AVKR,AVKL,3,0.031915
AVKR,RIML,5,0.023474
AVKR,RIMR,3,0.012048
AVKR,RMFL,2,0.043478
AVKR,RMDL,1,0.005814
AVKR,RMDR,2,0.010000
AVKR,RMHR,1,0.012500
AVKR,SMDDR,3,0.012605
AVKR,SMDVR,1,0.006803
AVKR,SMBDL,3,0.037500
AVKR,SIADL,3,0.056604
DVC,PVDR,1,0.010870
DVC,RIBL,2,0.009174
DVC,RIBR,6,0.026549
DVC,RIGL,16,0.179775
DVC,RIGR,13,0.119266
DVC,AIBL,3,0.011628
DVC,AIBR,3,0.010490
DVC,AVKL,2,0.021277
DVC,PVT,1,0.030303
DVC,RMFL,14,0.304348
DVC,RMFR,9,0.191489
DVC,AVBL,1,0.002967
DVC,AVAL,14,0.020990
DVC,AVAR,16,0.023358
DVC,URAVL,1,0.030303
DVC,RIVR,2,0.057143
DVC,VD09,2,0.027397
AVJL,ASHR,1,0.025641
AVJL,AINL,1,0.125000
AVJL,RIS,1,0.025000
AVJL,RIFR,1,0.028571
AVJL,AVHL,3,0.085714
AVJL,PVNR,4,0.105263
AVJL,AVJR,1,0.012346
AVJL,AVDL,1,0.003788
AVJL,AVEL,1,0.003300
AVJL,AVBL,5,0.014837
AVJL,AVBR,6,0.018072
AVJL,AVAR,1,0.001460
AVJL,PVCL,5,0.017668
AVJL,PVCR,1,0.003817
AVJL,SABD,1,0.021739
AVJR,ALML,3,0.150000
AVJR,AVM,1,0.200000
AVJR,FLPR,2,0.181818
AVJR,PVQR,1,0.029412
AVJR,AVFR,1,0.032258
AVJR,AVJL,1,0.011236
AVJR,AVDL,1,0.003788
AVJR,AVDR,7,0.029661
AVJR,AVER,3,0.010204
AVJR,RID,2,0.035714
AVJR,AVBL,10,0.029674
AVJR,AVBR,2,0.006024
AVJR,AVAL,4,0.005997
AVJR,AVAR,5,0.007299
AVJR,PVCL,5,0.017668
AVJR,PVCR,7,0.026718
AVJR,SABVL,3,0.061224
PVT,RIH,2,0.018182
PVT,RIS,1,0.025000
PVT,RIGL,1,0.011236
PVT,RIGR,6,0.055046
PVT,AIBL,5,0.019380
PVT,AIBR,10,0.034965
PVT,AVKL,7,0.074468
PVT,AVKR,8,0.105263
PVT,DVC,3,0.100000
PVT,AVL,3,0.051724
PVT,RMFL,3,0.065217
PVT,RMFR,7,0.148936
PVT,RMEV,4,0.043956
AVDL,LUAL,2,0.090909
AVDL,DVC,2,0.066667
AVDL,AVJL,1,0.011236
AVDL,AVDR,5,0.021186
AVDL,AVEL,5,0.016502
AVDL,AVAL,37,0.055472
AVDL,AVAR,37,0.054015
AVDL,PVCL,1,0.003534
AVDL,SABD,5,0.108696
AVDL,SABVL,2,0.040816
AVDL,SABVR,5,0.135135
AVDL,DA01,4,0.061538
AVDL,DA02,2,0.040000
AVDL,DA03,9,0.145161
AVDL,DA04,3,0.081081
AVDL,DA05,1,0.025641
AVDL,DA08,2,0.031250
AVDL,AS04,2,0.080000
AVDL,AS10,1,0.047619
AVDL,AS11,4,0.105263
AVDL,VA01,2,0.046512
AVDL,VA03,3,0.078947
AVDL,VA05,1,0.050000
AVDL,VA10,2,0.105263
AVDL,VA12,1,0.016129
AVDR,PQR,3,0.157895
AVDR,ALA,1,0.083333
AVDR,LUAL,3,0.136364
AVDR,DVC,4,0.133333
AVDR,AVJR,1,0.012346
AVDR,AVDL,3,0.011364
AVDR,AVER,2,0.006803
AVDR,AVBL,1,0.002967
AVDR,AVAL,41,0.061469
AVDR,AVAR,52,0.075912
AVDR,PVCR,2,0.007634
AVDR,SABD,1,0.021739
AVDR,SABVL,5,0.102041
AVDR,SABVR,1,0.027027
AVDR,DA01,5,0.076923
AVDR,DA02,5,0.100000
AVDR,DA03,3,0.048387
AVDR,DA04,2,0.054054
AVDR,DA05,3,0.076923
AVDR,DA06,1,0.083333
AVDR,DA08,1,0.015625
AVDR,DA09,1,0.018182
AVDR,DB01,1,0.125000
AVDR,DB04,1,0.055556
AVDR,AS10,2,0.095238
AVDR,AS11,3,0.078947
AVDR,VA02,1,0.022727
AVDR,VA03,2,0.052632
AVDR,VA05,3,0.150000
AVDR,VA11,1,0.025641
AVL,RIS,1,0.025000
AVL,PVPR,2,0.083333
AVL,DVB,1,0.500000
AVL,AVKR,2,0.026316
AVL,DVC,2,0.066667
AVL,PVWL,1,0.050000
AVL,RIMR,2,0.008032
AVL,AVEL,3,0.009901
AVL,SABD,9,0.195652
AVL,SABVL,9,0.183673
AVL,SABVR,6,0.162162
AVL,DD01,4,0.023256
AVL,DD06,1,0.006803
AVL,VD12,3,0.032967
PVWL,AVJL,1,0.011236
PVWL,PVT,1,0.030303
PVWL,PVWR,1,0.125000
PVWL,PVCL,1,0.003534
PVWL,PVCR,1,0.003817
PVWL,VD12,1,0.010989
PVWR,LUAR,1,0.034483
PVWR,PVT,2,0.060606
PVWR,AVDR,2,0.008475
PVWR,AVL,1,0.017241
PVWR,AVAR,1,0.001460
PVWR,PVCR,1,0.003817
PVWR,VA12,1,0.016129
RIAL,BAGR,2,0.052632
RIAL,URXL,2,0.027397
RIAL,AQR,4,0.125000
RIAL,CEPDL,1,0.025000
RIAL,RIR,3,0.044776
RIAL,AIZL,1,0.004831
RIAL,RIBL,2,0.009174
RIAL,SAADL,1,0.013333
RIAL,RIAR,23,0.055556
RIAL,RIML,2,0.009390
RIAL,RIMR,2,0.008032
RIAL,AVAL,2,0.002999
RIAL,RMDDL,48,0.154839
RIAL,RMDDR,35,0.121107
RIAL,RMDL,26,0.151163
RIAL,RMDR,17,0.085000
RIAL,RMDVL,48,0.173285
RIAL,RMDVR,48,0.177122
RIAL,RIVL,8,0.190476
RIAL,RIVR,12,0.342857
RIAL,SMDDL,22,0.105263
RIAL,SMDDR,33,0.138655
RIAL,SMDVL,14,0.100719
RIAL,SMDVR,32,0.217687
RIAL,SMBDR,7,0.070000
RIAL,SIADL,3,0.056604
RIAL,SIAVR,2,0.026316
RIAR,ADFR,2,0.041667
RIAR,CEPVL,1,0.022727
RIAR,CEPVR,1,0.017241
RIAR,IL1R,2,0.055556
RIAR,AUAR,2,0.039216
RIAR,RIBR,1,0.004425
RIAR,SAADR,1,0.014706
RIAR,RIAL,38,0.087558
RIAR,RIAR,3,0.007246
RIAR,AVAR,2,0.002920
RIAR,RMDDL,48,0.154839
RIAR,RMDDR,53,0.183391
RIAR,RMDL,9,0.052326
RIAR,RMDR,35,0.175000
RIAR,RMDVL,57,0.205776
RIAR,RMDVR,47,0.173432
RIAR,RIVL,3,0.071429
RIAR,RIVR,3,0.085714
RIAR,SMDDL,32,0.153110
RIAR,SMDDR,26,0.109244
RIAR,SMDVL,43,0.309353
RIAR,SMDVR,26,0.176871
RIAR,SMBDR,2,0.020000
RIAR,SMBVR,2,0.025000
RIAR,SIADR,4,0.068966
RIAR,SIAVL,7,0.082353
RIML,RIBL,9,0.041284
RIML,AIBL,1,0.003876
RIML,AIBR,22,0.076923
RIML,RICR,1,0.009524
RIML,SAADL,1,0.013333
RIML,SAADR,4,0.058824
RIML,SAAVL,10,0.192308
RIML,SAAVR,10,0.217391
RIML,AVKR,1,0.013158
RIML,RIAL,3,0.006912
RIML,RIML,11,0.051643
RIML,RIMR,2,0.008032
RIML,AVER,5,0.017007
RIML,RMFL,2,0.043478
RIML,RMFR,2,0.042553
RIML,AVBL,9,0.026706
RIML,AVBR,11,0.033133
RIML,AVAL,5,0.007496
RIML,AVAR,2,0.002920
RIML,RMDL,9,0.052326
RIML,RMDR,21,0.105000
RIML,SMDDL,11,0.052632
RIML,SMDDR,14,0.058824
RIML,SMDVL,11,0.079137
RIML,VB01,8,0.216216
RIMR,RIS,2,0.050000
RIMR,ADAR,9,0.195652
RIMR,RIBR,4,0.017699
RIMR,AIBL,15,0.058140
RIMR,SAAVL,11,0.211538
RIMR,SAAVR,8,0.173913
RIMR,AVKL,1,0.010638
RIMR,AVJL,4,0.044944
RIMR,RIML,4,0.018779
RIMR,RMFL,1,0.021739
RIMR,RMFR,7,0.148936
RIMR,AVBL,9,0.026706
RIMR,AVBR,12,0.036145
RIMR,AVAL,9,0.013493
RIMR,RMDL,15,0.087209
RIMR,RMDR,12,0.060000
RIMR,SMDDL,9,0.043062
RIMR,SMDDR,14,0.058824
