x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
119187,150981,86206,365.8770,295.1910,649.1197
119187,150981,106206,366.2322,290.9878,636.7153
119187,150981,126206,366.7047,287.9408,623.4287
119187,150981,146206,368.1067,285.8102,609.3400
119187,150981,166206,370.0897,284.0402,594.3606
119187,150981,186206,374.2777,282.5342,579.8970
119187,170981,86206,361.0138,308.9023,642.6810
119187,170981,106206,361.3690,304.1778,629.9563
119187,170981,126206,361.7257,300.9776,616.1712
119187,170981,146206,363.8243,298.3775,601.4149
119187,170981,286206,376.4204,274.3984,500.9913
119187,170981,306206,375.9660,270.3979,484.9452
119187,170981,326206,376.7873,266.5405,470.2255
119187,170981,346206,377.7264,264.5755,454.2670
119187,170981,366206,378.3181,262.5265,437.3469
119187,190981,86206,356.0344,321.9638,636.0201
119187,190981,106206,356.5067,317.9508,622.3422
119187,190981,126206,358.2574,316.3513,607.7456
119187,190981,246206,372.9355,296.4465,519.8240
119187,190981,266206,372.5945,291.2355,506.5477
119187,190981,286206,372.3695,285.7082,493.1025
119187,190981,306206,372.4942,280.7564,478.0897
119187,190981,326206,373.1996,277.6599,463.6099
119187,190981,346206,374.4872,276.4731,447.7755
119187,190981,366206,374.9626,274.4835,431.2206
119187,210981,226206,369.8065,312.0457,523.7605
119187,210981,246206,370.2785,307.4596,510.1098
119187,210981,266206,370.2849,302.6141,498.1955
119187,210981,286206,369.8275,297.5562,485.4178
119187,210981,306206,369.4876,292.7577,470.9037
119187,210981,326206,369.4965,289.5329,456.5221
119187,210981,346206,370.2032,287.9089,441.3291
119187,210981,366206,371.2583,285.8154,425.4686
119187,210981,406206,372.3224,278.9506,394.1500
119187,210981,426206,371.8668,275.0588,379.6621
119187,210981,446206,371.5273,270.4406,364.7026
119187,230981,206206,365.1672,328.3938,530.3058
119187,230981,226206,367.0330,323.8098,515.1144
119187,230981,246206,367.7359,318.4775,502.6482
119187,230981,266206,367.9739,313.1182,491.1260
119187,230981,286206,367.4011,308.7965,477.9917
119187,230981,306206,366.3649,304.7418,463.8334
119187,230981,326206,366.1411,301.5072,450.2800
119187,230981,346206,366.1505,298.8728,435.7556
119187,230981,366206,367.3214,296.4285,419.9575
119187,230981,386206,367.7965,294.0881,403.4651
119187,230981,406206,366.6455,291.1896,388.4247
119187,230981,426206,367.0025,287.7250,374.1233
119187,230981,446206,367.1270,283.5935,359.7155
119187,230981,466206,366.9043,279.2076,343.9634
119187,230981,486206,366.9127,274.3324,329.1999
119187,250981,186206,360.1797,345.7672,537.6073
119187,250981,206206,362.2775,341.1659,522.5316
119187,250981,226206,364.0266,336.3497,508.1328
119187,250981,246206,364.8450,331.2299,496.5302
119187,250981,266206,364.9674,325.6581,484.1444
119187,250981,286206,364.5107,320.9263,470.7076
119187,250981,306206,364.0543,317.3829,457.6975
119187,250981,326206,363.7142,314.2076,444.5091
119187,250981,346206,362.6779,310.1356,430.4666
119187,250981,366206,363.3845,307.4517,414.7490
119187,250981,386206,362.0033,305.4377,397.5978
119187,250981,406206,361.0846,301.9585,381.8721
119187,250981,426206,362.2537,298.6471,368.0690
119187,250981,446206,362.4945,295.3704,354.0347
119187,250981,466206,362.8517,291.8638,339.2525
119187,250981,486206,363.6722,287.4407,325.2721
119187,270981,206206,360.0834,353.6884,515.6656
119187,270981,226206,361.2511,348.3486,502.4871
119187,270981,246206,361.9538,343.1868,490.4037
119187,270981,266206,361.7285,338.2228,477.7595
119187,270981,286206,361.2712,333.4984,465.0350
119187,270981,306206,361.5113,330.5108,452.1135
119187,270981,326206,361.2871,326.7796,438.8363
119187,270981,346206,359.5542,322.4507,424.9900
119187,270981,366206,358.8685,320.5799,409.1653
119187,270981,386206,356.5591,317.5753,391.0266
119187,270981,406206,356.8013,314.2418,375.0868
119187,270981,426206,357.5060,310.9131,361.3996
119187,270981,446206,357.8622,306.4900,347.4194
119187,270981,466206,358.7992,303.5887,333.9189
119187,270981,486206,359.9678,300.3019,320.7124
119187,290981,226206,359.4043,361.2367,496.9832
119187,290981,246206,359.6428,355.6648,484.5974
119187,290981,266206,359.1850,350.2216,472.1137
119187,290981,286206,358.9609,346.6015,458.8543
119187,290981,366206,353.5422,332.8410,400.2433
119187,290981,386206,351.3478,330.5776,384.0007
119187,290981,406206,352.0541,327.9530,368.6480
119187,290981,426206,352.7584,324.5379,355.5397
119187,290981,446206,353.3462,320.4211,342.5564
119187,290981,466206,354.2838,317.0257,327.7919
119187,290981,486206,356.0349,314.4528,312.0918
119187,310981,366206,349.1437,345.9124,392.7542
119187,310981,386206,347.5295,343.4265,376.4760
119187,310981,406206,348.3509,340.6290,362.2809
