x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
50000,169272,53622,183.9321,43.4188,126.0442
50000,169272,73622,181.1602,52.7748,123.2730
50000,169272,93622,180.7054,64.5788,120.6351
50000,169272,113622,182.4433,79.0534,117.1781
50000,169272,133622,183.2191,95.1753,114.6335
50000,169272,153622,183.1676,108.7905,113.4444
50000,169272,173622,183.6810,121.9470,111.7748
50000,169272,193622,184.1397,138.5716,109.2931
50000,169272,213622,185.0580,154.4765,106.9650
50000,169272,253622,177.1565,183.9326,101.9519
50000,169272,273622,176.5300,199.6937,99.5266
50000,189272,53622,186.2977,41.0932,114.5063
50000,189272,73622,182.6128,50.7330,111.6863
50000,189272,93622,182.5714,61.7603,108.7520
50000,189272,113622,183.9406,73.7029,105.3844
50000,189272,133622,182.8055,89.6384,102.3779
50000,189272,153622,181.8421,105.0682,99.8656
50000,189272,173622,183.1247,119.3887,97.9313
50000,189272,193622,184.8604,135.7779,95.9981
50000,189272,213622,185.9170,149.8479,95.2920
50000,189272,233622,183.5077,163.7914,94.0596
50000,189272,273622,176.6174,195.7710,89.5508
50000,209272,73622,183.0225,47.8439,98.8152
50000,209272,93622,184.3935,59.6036,95.9908
50000,209272,113622,185.8025,70.5655,93.4912
50000,209272,153622,183.4338,99.9905,88.0764
50000,209272,173622,181.7997,114.6924,85.0321
50000,209272,193622,181.3480,131.1052,82.2025
50000,209272,213622,181.7220,146.4394,80.5658
50000,209272,233622,181.6380,160.3231,79.8993
50000,229272,173622,181.2953,110.1969,74.1923
50000,229272,193622,179.4820,125.6171,70.2148
50000,229272,213622,178.0733,140.5459,65.9337
50000,249272,193622,179.3400,120.3257,57.3914
70000,109272,133622,194.6967,103.6910,150.4552
70000,109272,153622,195.4298,117.5754,147.1599
70000,109272,213622,196.9035,161.2078,139.6260
70000,109272,253622,189.4559,196.7770,135.3336
70000,109272,273622,186.9113,210.5794,131.9784
70000,129272,93622,194.8651,71.1917,146.4707
70000,129272,113622,195.1415,86.4829,143.8762
70000,129272,133622,196.3750,101.8480,140.2829
70000,129272,153622,196.4667,114.9890,137.1667
70000,129272,173622,196.0665,128.6827,133.9627
70000,129272,193622,196.7576,143.0134,131.3378
70000,129272,213622,196.9422,157.8910,129.1008
70000,129272,253622,189.6805,192.6588,123.6163
70000,129272,273622,186.0895,208.2565,120.2927
70000,149272,53622,197.1768,43.7078,138.3338
70000,149272,73622,196.4099,55.2084,136.6291
70000,149272,93622,195.9976,68.1782,134.8737
70000,149272,113622,196.9589,83.9800,131.9616
70000,149272,133622,198.3728,98.7393,128.7791
70000,149272,153622,198.5575,111.7452,125.8375
70000,149272,173622,197.0575,125.1128,122.9521
70000,149272,193622,197.2989,139.5504,119.2532
70000,149272,273622,190.0976,203.6304,108.4757
70000,169272,53622,197.9502,42.0233,127.1321
70000,169272,73622,196.4946,53.3554,124.7220
70000,169272,93622,197.0419,65.6642,121.6408
70000,169272,113622,198.1366,80.1267,118.8864
70000,169272,133622,199.0537,94.0538,115.9190
70000,169272,153622,198.8289,107.6422,111.4891
70000,169272,173622,198.0575,122.5097,109.1510
70000,169272,193622,197.7881,136.7448,106.7560
70000,169272,213622,198.3431,150.4792,103.8864
70000,169272,233622,197.0745,164.8557,101.4443
70000,189272,53622,198.8128,38.2211,115.6633
70000,189272,73622,196.7679,50.9980,112.4852
70000,189272,93622,197.4061,62.7243,108.8685
70000,189272,113622,198.5927,73.0404,105.9891
70000,189272,133622,197.9579,87.1385,103.5489
70000,189272,153622,197.2841,104.4210,99.0797
70000,189272,173622,197.1485,119.2160,95.1532
70000,189272,193622,197.6948,133.0607,93.9724
70000,189272,213622,197.7446,146.9525,92.6946
70000,189272,233622,196.6130,160.8155,90.2478
70000,189272,253622,194.9306,175.4283,87.8927
70000,209272,53622,199.4537,34.4966,102.7273
70000,209272,73622,196.9969,48.4363,99.5643
70000,209272,93622,198.4532,61.2584,96.3503
70000,209272,113622,199.1818,70.1773,94.4312
70000,209272,133622,197.6354,84.9170,91.0302
70000,209272,153622,196.3166,100.8024,86.5863
70000,209272,173622,194.9093,115.0521,83.3418
70000,209272,193622,194.3648,129.2323,81.0953
70000,209272,213622,194.0036,143.7240,79.7741
70000,209272,233622,193.7434,157.4047,78.0626
70000,209272,253622,193.7895,170.6012,74.8865
70000,229272,73622,198.4056,44.9088,86.4902
70000,229272,93622,199.2197,58.9555,84.1931
70000,229272,113622,199.5352,70.9147,81.5370
70000,229272,133622,198.1261,83.5368,78.5921
70000,229272,153622,196.9878,97.1370,77.1421
70000,229272,173622,193.8073,110.9992,73.1278
70000,229272,193622,191.6751,124.9284,70.0671
70000,229272,213622,190.3159,139.3133,67.1910
70000,229272,233622,189.9551,152.8435,63.5497
70000,229272,253622,192.3283,165.4995,59.6616
70000,249272,113622,199.2106,68.0994,68.1685
70000,249272,133622,197.6674,80.0966,64.9220
70000,249272,173622,195.0372,107.5421,60.8955
70000,249272,193622,192.9523,120.5544,57.6252
70000,249272,213622,191.1344,133.7131,53.7029
70000,249272,233622,190.3182,146.5376,48.6303
70000,249272,253622,192.8263,158.7121,43.5087
90000,89272,213622,216.1977,161.2120,145.7453
90000,109272,93622,210.1127,73.0671,155.8772
90000,109272,113622,209.7964,89.8907,152.5071
90000,109272,133622,210.8523,104.0093,148.7612
90000,109272,153622,212.8594,116.7398,145.5831
90000,109272,173622,215.5039,130.0610,142.6109
90000,109272,193622,215.9192,144.6312,139.4283
90000,109272,213622,215.7379,158.3695,136.5975
90000,109272,233622,214.8351,171.8335,133.7612
90000,129272,73622,211.9773,56.4422,147.2048
90000,129272,93622,210.8845,70.3872,145.3674
90000,129272,113622,210.7076,87.6232,142.4325
90000,129272,133622,211.7147,102.0566,139.2037
90000,129272,153622,212.9921,114.1351,136.5289
90000,129272,173622,213.4050,127.1935,132.5242
90000,129272,193622,213.1832,141.8535,129.5263
90000,129272,213622,214.0547,155.2145,127.0232
90000,129272,233622,213.5574,168.5968,123.5747
90000,129272,253622,210.9254,183.1339,120.1475
90000,149272,53622,213.4263,42.5207,137.8306
90000,149272,73622,212.7914,54.2436,136.3715
90000,149272,93622,212.3833,67.8601,134.8157
90000,149272,113622,212.2519,85.1884,131.6036
90000,149272,133622,213.3050,99.1094,128.7848
90000,149272,153622,214.2177,111.2776,126.3418
90000,149272,173622,213.4458,123.9145,122.6122
90000,149272,193622,211.3611,138.2673,119.0797
90000,149272,213622,211.4563,151.7618,116.4933
90000,149272,233622,211.9161,164.8798,112.4770
90000,149272,253622,211.5085,178.4232,108.2244
90000,169272,33622,215.5680,25.8747,128.0366
90000,169272,53622,213.3783,40.4209,126.8523
90000,169272,73622,212.8333,52.8456,124.8947
90000,169272,93622,213.2418,66.7974,122.5504
90000,169272,113622,213.7960,81.9030,120.2274
90000,169272,133622,214.3951,95.1333,117.1139
90000,169272,153622,214.6733,107.6946,113.1833
90000,169272,173622,213.6251,120.3875,109.6794
90000,169272,193622,211.2156,134.6894,106.0044
90000,169272,213622,210.8154,147.6802,103.2648
90000,169272,233622,210.7298,161.0532,100.2401
90000,169272,253622,210.9118,174.7732,96.4150
90000,169272,273622,211.5113,189.7166,93.1392
90000,189272,53622,213.6984,37.4560,114.7030
90000,189272,73622,211.9228,50.7280,112.2886
90000,189272,93622,212.6476,64.1916,109.1299
90000,189272,113622,213.8373,75.6479,107.7579
90000,189272,133622,214.4834,89.7872,105.6335
90000,189272,153622,213.7629,104.6685,100.0213
90000,189272,173622,212.4843,117.0979,94.9796
90000,189272,193622,212.2125,130.3710,92.3222
90000,189272,213622,211.5339,143.4867,90.7499
90000,189272,233622,208.9893,157.3079,88.0214
90000,189272,253622,208.4405,170.9299,84.2913
90000,189272,273622,210.5484,185.5997,81.3222
90000,209272,53622,214.6997,34.9244,102.4866
90000,209272,73622,212.2349,48.6650,99.4379
90000,209272,93622,213.1954,62.1191,97.3921
90000,209272,113622,212.9576,72.2387,96.3627
90000,209272,133622,215.3069,85.6896,92.3232
90000,209272,153622,213.8951,100.6501,87.3269
90000,209272,173622,209.9742,113.8151,82.5272
90000,209272,193622,208.7012,126.7124,80.0656
90000,209272,213622,207.8853,139.8689,78.8635
90000,209272,233622,205.8936,153.9666,76.9654
90000,209272,253622,206.6244,166.9481,72.9879
90000,209272,273622,209.4067,180.7041,69.4471
90000,229272,73622,215.1544,45.9419,87.7784
90000,229272,93622,215.1065,60.0795,84.7403
90000,229272,113622,214.6936,71.4100,81.4102
90000,229272,133622,216.5678,83.2733,76.8114
90000,229272,153622,216.8932,96.7799,74.4416
90000,229272,173622,208.6414,110.5631,71.6162
90000,229272,193622,205.1016,123.7360,69.3911
90000,229272,213622,202.1459,137.2649,67.7724
90000,229272,233622,201.5635,150.2305,65.0074
90000,229272,253622,204.2477,162.5310,60.4979
90000,249272,113622,216.1488,69.5574,68.1506
90000,249272,133622,217.1064,80.0211,64.0200
90000,249272,173622,211.1472,107.3670,60.0524
90000,249272,193622,208.4725,120.0813,58.1302
90000,249272,213622,206.3370,131.6644,54.7415
90000,249272,233622,204.0683,143.6125,49.7031
90000,249272,253622,206.4331,155.4087,45.4644
110000,89272,193622,231.9454,144.6566,149.0793
110000,89272,213622,232.3576,160.2458,145.6751
110000,89272,233622,233.3158,175.0972,142.2636
110000,89272,253622,233.5466,187.7896,138.8030
110000,109272,73622,228.9592,58.5698,156.8694
110000,109272,93622,228.6911,72.8642,154.4184
110000,109272,113622,227.5997,89.4741,150.5730
110000,109272,133622,227.5591,103.8253,146.7717
110000,109272,153622,228.9295,115.2955,144.4199
110000,109272,173622,230.8000,127.8172,142.3617
110000,109272,193622,231.8546,141.9674,139.4146
110000,109272,213622,232.0840,157.8445,135.2652
110000,109272,233622,233.2683,172.2909,131.4216
110000,109272,253622,233.7727,184.1512,128.1798
110000,109272,273622,233.0457,197.0222,125.0480
110000,129272,73622,229.0410,56.7327,146.3139
110000,129272,93622,228.4529,70.5036,144.1017
110000,129272,113622,227.9125,87.7085,140.7347
110000,129272,133622,228.3298,101.5935,137.3536
110000,129272,153622,229.1546,112.7837,135.3676
110000,129272,173622,229.7506,124.8517,132.9695
110000,129272,193622,230.3997,139.5723,128.9540
110000,129272,213622,230.1237,155.0377,124.5193
110000,129272,233622,231.4884,168.6623,120.3266
110000,129272,253622,232.6767,180.1112,117.0285
110000,129272,273622,232.4075,192.7085,113.7074
110000,149272,53622,230.9498,42.3425,137.3080
110000,149272,73622,229.9469,54.7688,135.4843
110000,149272,93622,229.5884,68.4355,133.6487
110000,149272,113622,229.2747,84.7116,130.6390
110000,149272,133622,229.8298,98.5485,126.7507
110000,149272,153622,229.6481,110.4274,125.3337
110000,149272,173622,228.9255,122.0880,122.6005
110000,149272,193622,228.1615,137.0595,117.9092
110000,149272,213622,226.9355,150.4807,114.0162
110000,149272,233622,228.4868,163.0816,109.9543
110000,149272,253622,230.5786,175.1558,105.5771
110000,149272,273622,231.3108,188.5030,101.7972
110000,149272,293622,230.4969,204.5599,98.3027
110000,169272,33622,232.9548,25.1771,128.2979
110000,169272,53622,232.0890,39.5188,125.7074
110000,169272,73622,231.5409,52.9617,123.7223
110000,169272,93622,231.4963,66.8093,122.0270
110000,169272,113622,231.2268,80.8667,119.5343
110000,169272,133622,231.2358,94.9826,115.9176
110000,169272,153622,230.7398,107.7397,113.4550
110000,169272,173622,229.2449,119.3270,109.6978
110000,169272,193622,226.8760,132.6929,104.7830
110000,169272,213622,225.2388,145.8734,101.8550
110000,169272,233622,225.5178,158.0815,98.9205
110000,169272,253622,227.5676,170.9063,93.7575
110000,169272,273622,229.2123,185.0005,89.4273
110000,189272,33622,232.9981,21.2843,116.7727
110000,189272,53622,231.6271,36.2878,114.1402
110000,189272,73622,231.3993,50.9027,110.8689
